ID,Title,Center
1727,David Parkes,Harvard Business School
1575,H.T. Kung,Harvard Business School
1660,James H. Waldo,Harvard Business School
1564,Woodward Yang,Harvard Business School
1525,Michael B. McElroy,Harvard Graduate School of Design
1564,Woodward Yang,Harvard Graduate School of Design
1525,Michael B. McElroy,Harvard Kennedy School of Government
1636,Daniel P. Schrag,Harvard Kennedy School of Government
1688,David Keith,Harvard Kennedy School of Government
1660,James H. Waldo,Harvard Kennedy School of Government
2621,John P. Holdren,Harvard Kennedy School of Government
1639,Jonathan Zittrain,Harvard Kennedy School of Government
3141,Milind Tambe,Harvard Kennedy School of Government
1583,Venkatesh Narayanamurti,Harvard Kennedy School of Government
1865,Cynthia Dwork,Harvard Law School
1639,Jonathan Zittrain,Harvard Law School
1583,Venkatesh Narayanamurti,Harvard Law School
2711,Cengiz Pehlevan,Harvard Medical School
11536,Christin Y. Sander,Harvard Medical School
1727,David Parkes,Harvard Medical School
1802,Demba Ba,Harvard Medical School
1887,Doeke Romke Hekstra,Harvard Medical School
1650,Donald Elliot Ingber,Harvard Medical School
1558,L Mahadevan,Harvard Medical School
1536,Leslie G. Valiant,Harvard Medical School
1569,Radhika Nagpal,Harvard Medical School
1588,Sharad Ramanathan,Harvard Medical School
1583,Venkatesh Narayanamurti,Harvard Medical School
1607,Elsie M Sunderland,Harvard T.H. Chan School of Public Health
1525,Michael B. McElroy,Harvard T.H. Chan School of Public Health
3141,Milind Tambe,Harvard T.H. Chan School of Public Health
1556,Michael P. Brenner,Institute for Applied Computational Science (IACS)
1565,Steven J. Gortler,Institute for Applied Computational Science (IACS)
1551,Efthimios Kaxiras,Institute for Applied Computational Science (IACS)
2414,Boris Kozinsky,Institute for Applied Computational Science (IACS)
1572,Zhiming Kuang,Institute for Applied Computational Science (IACS)
1651,Yue Lu,Institute for Applied Computational Science (IACS)
1889,Prineha Narang,Institute for Applied Computational Science (IACS)
1727,David Parkes,Institute for Applied Computational Science (IACS)
1566,Hanspeter Pfister,Institute for Applied Computational Science (IACS)
1760,Christopher Rycroft,Institute for Applied Computational Science (IACS)
3141,Milind Tambe,Institute for Applied Computational Science (IACS)
1660,James H. Waldo,Institute for Applied Computational Science (IACS)
1802,Demba Ba,Institute for Applied Computational Science (IACS)
1598,Katia Bertoldi,Institute for Applied Computational Science (IACS)
1695,Finale Doshi-Velez,Institute for Applied Computational Science (IACS)
1759,Stratos Idreos,Institute for Applied Computational Science (IACS)
1685,Eddie Kohler,Institute for Applied Computational Science (IACS)
1575,H.T. Kung,Institute for Applied Computational Science (IACS)
1886,Susan A Murphy,Institute for Applied Computational Science (IACS)
1576,Cherry Murray,Institute for Applied Computational Science (IACS)
1713,Yaron Singer,Institute for Applied Computational Science (IACS)
1521,Salil P. Vadhan,Institute for Applied Computational Science (IACS)
1636,Daniel P. Schrag,Belfer Center for Science and Internationnal Affairs
1639,Jonathan Zittrain,Belfer Center for Science and Internationnal Affairs
1577,Kit Parker,Belfer Center for Science and Internationnal Affairs
1583,Venkatesh Narayanamurti,Belfer Center for Science and Internationnal Affairs
1822,James Mickens,Berkman Klein Center for Internet and Society
1557,Stuart M. Shieber,Berkman Klein Center for Internet and Society
1639,Jonathan Zittrain,Berkman Klein Center for Internet and Society
1543,David J. Malan,Berkman Klein Center for Internet and Society
1533,Harry R. Lewis,Berkman Klein Center for Internet and Society
1695,Finale Doshi-Velez,Berkman Klein Center for Internet and Society
1558,L Mahadevan,"Center for Brains, Minds and Machines"
1536,Leslie G. Valiant,"Center for Brains, Minds and Machines"
1536,Leslie G. Valiant,Center for Brain Science (CBS)
1802,Demba Ba,Center for Brain Science (CBS)
1558,L Mahadevan,Center for Brain Science (CBS)
2711,Cengiz Pehlevan,Center for Brain Science (CBS)
1566,Hanspeter Pfister,Center for Brain Science (CBS)
1588,Sharad Ramanathan,Center for Brain Science (CBS)
1532,Maurice Smith,Center for Brain Science (CBS)
1585,Robert M. Westervelt,Center for Integrated Quantum Materials (CIQM)
1545,Evelyn Hu,Center for Integrated Quantum Materials (CIQM)
1799,Philip Kim,Center for Integrated Quantum Materials (CIQM)
1541,Marko Loncar,Center for Integrated Quantum Materials (CIQM)
1762,Amir Yacoby,Center for Integrated Quantum Materials (CIQM)
1617,David C. Bell,Center for Integrated Quantum Materials (CIQM)
1538,Donhee Ham,Center for Integrated Quantum Materials (CIQM)
1877,Jenny Hoffman,Center for Integrated Quantum Materials (CIQM)
1551,Efthimios Kaxiras,Center for Integrated Quantum Materials (CIQM)
2414,Boris Kozinsky,Center for Integrated Quantum Materials (CIQM)
11701,Julia A. Mundy,Center for Integrated Quantum Materials (CIQM)
1889,Prineha Narang,Center for Integrated Quantum Materials (CIQM)
1617,David C. Bell,Center for Nanoscale Systems (CNS)
1585,Robert M. Westervelt,Center for Nanoscale Systems (CNS)
3141,Milind Tambe,Center for Research on Computation and Society (CRCS)
1864,Flavio P. Calmon,Center for Research on Computation and Society (CRCS)
1519,Yiling Chen,Center for Research on Computation and Society (CRCS)
1605,Stephen Chong,Center for Research on Computation and Society (CRCS)
1695,Finale Doshi-Velez,Center for Research on Computation and Society (CRCS)
1865,Cynthia Dwork,Center for Research on Computation and Society (CRCS)
1611,Krzysztof Z Gajos,Center for Research on Computation and Society (CRCS)
2929,Elena Leah Glassman,Center for Research on Computation and Society (CRCS)
2728,Vijay Janapa Reddi,Center for Research on Computation and Society (CRCS)
1533,Harry R. Lewis,Center for Research on Computation and Society (CRCS)
1764,Na Li,Center for Research on Computation and Society (CRCS)
1822,James Mickens,Center for Research on Computation and Society (CRCS)
1727,David Parkes,Center for Research on Computation and Society (CRCS)
13261,Ariel Procaccia,Center for Research on Computation and Society (CRCS)
1557,Stuart M. Shieber,Center for Research on Computation and Society (CRCS)
1713,Yaron Singer,Center for Research on Computation and Society (CRCS)
1521,Salil P. Vadhan,Center for Research on Computation and Society (CRCS)
1660,James H. Waldo,Center for Research on Computation and Society (CRCS)
1639,Jonathan Zittrain,Center for Research on Computation and Society (CRCS)
1627,David R. Nelson,Condensed Matter Theory Group
1551,Efthimios Kaxiras,Condensed Matter Theory Group
13261,Ariel Procaccia,EconCS Group
1727,David Parkes,EconCS Group
3141,Milind Tambe,EconCS Group
1791,Peter John Huybers,EconCS Group
