Article,Faculty,FacultyID,ResearchArea
,Marko Loncar|Hanspeter Pfister|Evelyn Hu|Anas Chalah,1541|1566|1545|1568,Environment|Electrical Engineering|Computer Science|Bioengineering|Applied Physics|Applied Mathematics
Educating the innovators,Eric Mazur,1561,Applied Physics|Academics
Engineer John Hutchinson elected to the Royal Society,John W. Hutchinson,1539,
Federico Capasso receives prestigious European Physical Society prize,Federico Capasso,1580,Applied Physics
"Federico Capasso to receive Gold Medal, highest honor of SPIE",Federico Capasso,1580,Awards|Applied Physics
"Federico Capasso, terahertz pioneer",Federico Capasso,1580,Applied Physics
From soldier to bioengineer,Kit Parker,1577,Bioengineering|Applied Physics
Harvard scientists design new adaptive material inspired by tears,Joanna Aizenberg|Alison Grinthal,1527|1648,Materials|Bioengineering
Imagining products to change the world,David A. Edwards,1570,Academics
Physicists find right (and left) solution for on-chip optics,Federico Capasso,1580,Optics / Photonics|Applied Physics
Robot hands gain a gentler touch,Robert D. Howe,1555,Robotics|Electrical Engineering|Bioengineering
Robotic insects make first controlled flight,Robert J. Wood|Gu-Yeon Wei,1537|1563,Robotics|Electrical Engineering|Computer Science|Bioengineering
Salil Vadhan named Simons Investigator,Salil P. Vadhan,1521,Computer Science
Vinothan N. Manoharan promoted to full professor with tenure,Vinothan N. Manoharan,1552,Applied Physics
Big data heralds a new kind of analyst,Hanspeter Pfister,1566,Computer Science|Applied Mathematics|AI / Machine Learning
"Buckliball, an engineered buckling structure, advances folding materials",Katia Bertoldi,1598,Materials|Bioengineering|Applied Physics
Chameleon of the sea reveals its secrets,Kit Parker|Evelyn Hu,1577|1545,Bioengineering|Applied Physics
Flipped classroom teaching model gains an online community,Eric Mazur,1561,Academics
Next-generation optical tweezers trap tightly without overheating,Kai Wang,13076,Optics / Photonics|Electrical Engineering|Applied Physics
The flipped classroom will redefine the role of educators,Eric Mazur,1561,Applied Physics|Academics
W-Ink team receives R&D 100 Award,Joanna Aizenberg,1527,Materials
Warming hole delayed climate change over eastern United States,Loretta J. Mickley|Daniel J. Jacob,1608|1559,Environment|Climate
Watermark Ink device identifies unknown liquids instantly,Marko Loncar|Joanna Aizenberg,1541|1527,Materials|Applied Physics
Watermark Ink device wins R&D 100 Award,Marko Loncar|Joanna Aizenberg,1541|1527,Materials|Applied Physics
2016 Science and Cooking lecture series features a world of flavors,Pia Sorensen|Michael P. Brenner,1683|1556,Cooking
2017 Science and Cooking Lecture Series offers fresh perspectives on classic cuisine,Pia Sorensen|Michael P. Brenner,1683|1556,Cooking
2018 Science and Cooking Lecture Series serves up a smorgasbord of innovative presentations,Pia Sorensen|Michael P. Brenner,1683|1556,Cooking
3D-printed heart-on-a-chip with integrated sensors,Kit Parker,1577,Materials|Health / Medicine
4 students receive top honors for engineering ingenuity,Harry R. Lewis,1533,
5 computer science graduate students named 2019 Siebel Scholars,Salil P. Vadhan,1521,Awards
A 3-D model of a human heart ventricle,Kit Parker,1577,Bioengineering
A battery inspired by vitamins,Michael J. Aziz,1584,Environment
A better understanding of soft artificial muscles,L Mahadevan,1558,Applied Mathematics|Robotics
A better way to train machine learning models,Stuart M. Shieber,1557,Computer Science|AI / Machine Learning
"A career in circuitry, trailer to tenure",Gu-Yeon Wei,1563,Environment|Electrical Engineering
A chameleon in the physics lab,Federico Capasso,1580,Materials|Applied Physics
A clean way to extract rare earth metals,David Clarke,1731,Environment
A clearer path to clean air in China,Loretta J. Mickley,1608,Climate
A cockroach-inspired robot,Robert J. Wood,1537,Robotics
A conjecture for a better Turing test,Barbara J. Grosz,1523,Computer Science|AI / Machine Learning
A data-driven war on crime,Kit Parker,1577,Academics
A decade of growth at SEAS,Ariel Amir,1795,Academics|Events
A gentle grip on gelatinous creatures,Robert J. Wood,1537,Robotics
"A globetrotter, by design",William Marks [REMOVED 2020-11-05]|Maurice Smith,1756|1532,Health / Medicine|Climate|Bioengineering
A goldilocks zone for planet size,Robin Wordsworth,1807,Planetary Science
A material way to make Mars habitable,Robin Wordsworth,1807,Materials|Planetary Science
A metal that behaves like water,Philip Kim,1799,Applied Physics
"A multifunctional, multiscale, reconfigurable surface",Joanna Aizenberg,1527,Materials
A new spin on antifreeze,Joanna Aizenberg,1527,Materials
A new spin on nanofibers,Kit Parker,1577,
A new spin on superconductivity,Amir Yacoby,1762,Applied Physics
"A new technique for structural color, inspired by birds",Federico Capasso,1580,
A new technique to make drugs more soluble,David A. Weitz,1544,Applied Physics
A new way to combine soft materials,Zhigang Suo,1553,Materials
A one-way street for acoustic waves,Marko Loncar,1541,Applied Physics
A painless adhesive,Zhigang Suo,1553,Materials
A perfect storm of fire and ice may have led to snowball Earth,Robin Wordsworth,1807,
A pesky bacterial slime reveals its survival secrets,Joanna Aizenberg|Agnese Seminara [REMOVED 2020-11-05],1527|13651,Bioengineering
A photosynthetic engine for artificial cells,Kit Parker,1577,Bioengineering
"A platform for stable quantum computing, a playground for exotic physics",Jenny Hoffman,1877,Applied Physics|Quantum Engineering
A precise chemical fingerprint of the Amazon,Scot T. Martin,1567,Climate|Environment
A reconfigurable soft actuator,David Clarke,1731,Materials
"A safe, wearable soft sensor",Robert J. Wood,1537,Bioengineering|Materials
A science is born,Harry R. Lewis,1533,Computer Science
A self-organizing thousand-robot swarm,Radhika Nagpal,1569,Robotics|AI / Machine Learning
"A soft, on-the-fly solution to a hard, underwater problem",Robert J. Wood,1537,Environment|Robotics
A solid vaccine for liquid tumors,David Mooney,1579,Bioengineering|Health / Medicine
A sound solution,Fawwaz Habbal,1549,Academics
A strange new world of light,Federico Capasso,1580,Optics / Photonics
A toolkit for transformable materials,Katia Bertoldi,1598,Materials
"A watery Mars, a changed outlook",Robin Wordsworth,1807,Planetary Science
A way forward on climate,Michael B. McElroy,1525,Climate
