,Amir Yacoby,Ann Pearson,Anthony G. Oettinger,Arianna Mazzeo,Ariel Amir,Ariel Procaccia,Arturo Javier Real,B Altringer,Barbara J. Grosz,Boaz Barak,Boris Kozinsky,Brian F. Farrell,Cengiz Pehlevan,Cesar A Hidalgo,Charles M. Lieber,Cherry Murray,Christin Y. Sander,Christopher Joseph Lombardo,Christopher Rycroft,Christopher W. Tanner,Conor J Walsh,Cynthia Dwork,Cynthia Friend,Daniel J. Jacob,Daniel Needleman,Daniel P. Schrag,Daniel S Weinstock,David A. Weitz,David Brooks,David C. Bell,David Clarke,David J. Malan,David Keith,David Mooney,David Parkes,David R. Nelson,David Sondak,Demba Ba,Doeke Romke Hekstra,Donald Elliot Ingber,Donhee Ham,Eddie Kohler,Efthimios Kaxiras,Elena Leah Glassman,Eli Tziperman,Elsie M Sunderland,Eric Mazur,Evelyn Hu,Federico Capasso,Finale Doshi-Velez,Flavio P. Calmon,Frank J. Doyle,Frank N Keutsch,Frans A. Spaepen,Frederick H. Abernathy,Gu-Yeon Wei,H.T. Kung,Hanspeter Pfister,Harold McGee,Harry R. Lewis,James G. Anderson,James H. Waldo,James Mickens,James R. Rice,Jeffrey Arthur Paten,Jennifer Lewis,Jenny Hoffman,Jerry X. Mitrovica,Jia Liu,Joanna Aizenberg,John H. Shaw,John P. Holdren,John W. Hutchinson,Jonathan Zittrain,Joost J. Vlassak,Joze Bevk,Julia A. Mundy,Kaighin A McColl,Karen Brennan,Katia Bertoldi,Kelly Anne Miller,Kit Parker,Krzysztof Z Gajos,L Mahadevan,Lene V. Hau,Leslie G. Valiant,Linsey Christine Moyer,Lubov Greenwood,Madhu Sudan,Margo S Levine,Marianna Katherine Linz,Marko Loncar,Markus Thomas Basan,Mary Tolikas,Maurice Smith,Maxim Prigozhin,Michael B. McElroy,Michael D. Mitzenmacher,Michael D. Smith,Michael J. Aziz,Michael O. Rabin,Michael P. Brenner,Michelle Hilary Rosen,Milind Tambe,Minlan Yu,Na Li,Nabil Harfoush,Nada Amin,Noel Michele Holbrook,Patrick D Ulrich,Paul B. Bottino,Paul R Moorcroft,Pavlos Protopapas,Peter John Huybers,Peter S. Pershan,Peter William Zoogman,Petros Koumoutsakos,Philip Kim,Philippe Cluzel,Pia Sorensen,Prineha Narang,Radhika Nagpal,Ralph Mitchell,Rebecca Nancy Nesson,Richard M. Goody,Richard McCullough,Robert D. Howe,Robert J. Wood,Robert M. Westervelt,Robin Wordsworth,Roger W. Brockett,Roy G. Gordon,Russell J Wilcox,Salil P. Vadhan,Salma Abu Ayyash,Samir Mitragotri,Sarah M Iams,Scot T. Martin,Sharad Ramanathan,Stephanie Gil,Stephen Chong,Steven C. Wofsy,Steven J. Gortler,Stratos Idreos,Stuart M. Shieber,Susan A Murphy,Tai T. Wu,Todd Zickler,Venkatesh Narayanamurti,Vijay Janapa Reddi,Vikram Mansharamani,Vinothan N. Manoharan,Weiwei Pan,William H. Bossert,Woodward Yang,Xin Li,Yaron Singer,Yiling Chen,Yu-Chi Larry Ho,Yue Lu,Zhigang Suo,Zhiming Kuang
Amir Yacoby,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ann Pearson,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony G. Oettinger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arianna Mazzeo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ariel Amir,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ariel Procaccia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arturo Javier Real,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B Altringer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbara J. Grosz,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boaz Barak,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
