ID,Title,Area,School,Center,Collaboration
1762,Amir Yacoby,Applied Physics,,"Center for Integrated Quantum Materials (CIQM), Harvard Quantum Initiative (HQI)","Philip Kim, Marko Loncar, Efthimios Kaxiras, Prineha Narang, Federico Capasso, Robert M. Westervelt"
2626,Ann Pearson,Environmental Science & Engineering,,,"Daniel P. Schrag, Peter John Huybers"
1795,Ariel Amir,Applied Mathematics,,"Harvard Quantitative Biology (QBio), Kavli Institute for Bionano Science and Technology, Materials Research Science and Engineering Center (MRSEC)",
13261,Ariel Procaccia,Computer Science,,"Center for Research on Computation and Society (CRCS), EconCS Group","David Parkes, Yiling Chen, Milind Tambe, Krzysztof Z Gajos, Finale Doshi-Velez"
1523,Barbara J. Grosz,Computer Science,,"Edmond Safra Center for Ethics, Radcliffe Institute for Advanced Study",
1835,Boaz Barak,Computer Science,,"Harvard Quantum Initiative (HQI), Theory of Computation","Salil P. Vadhan, Michael D. Mitzenmacher"
2414,Boris Kozinsky,Materials Science & Mechanical Engineering,,"Institute for Applied Computational Science (IACS), Center for Integrated Quantum Materials (CIQM), Harvard Quantum Initiative (HQI), Harvard University Center for the Environment (HUCE), Integrated Mesoscale Architectures for Sustainable Catalysis, Materials Research Science and Engineering Center (MRSEC)","Cynthia Friend, Zhigang Suo, Jia Liu, Efthimios Kaxiras"
1524,Brian F. Farrell,Environmental Science & Engineering,,Harvard University Center for the Environment (HUCE),
2711,Cengiz Pehlevan,Applied Mathematics,Harvard Medical School,"Center for Brain Science (CBS), Harvard Brain Science Initiative, Harvard Quantitative Biology (QBio), Mind Brain Behavior Initiative",L Mahadevan
1576,Cherry Murray,Applied Physics,,Institute for Applied Computational Science (IACS),
11536,Christin Y. Sander,Bioengineering,Harvard Medical School,,
1716,Christopher Joseph Lombardo,Materials Science & Mechanical Engineering,,,
1760,Christopher Rycroft,Applied Mathematics,,"Institute for Applied Computational Science (IACS), Harvard Quantitative Biology (QBio), Materials Research Science and Engineering Center (MRSEC)","L Mahadevan, Katia Bertoldi"
1667,Conor J Walsh,Materials Science & Mechanical Engineering,,"Harvard Biodesign, Materials Research Science and Engineering Center (MRSEC), Robotics at Harvard, Wyss Institute for Biologically Inspired Engineering","Robert J. Wood, David Mooney, Katia Bertoldi, Jennifer Lewis, Radhika Nagpal, David A. Weitz, Zhigang Suo, Joost J. Vlassak, Finale Doshi-Velez, Krzysztof Z Gajos, Maurice Smith"
