Title,Incorrect Collaboration
Ann Pearson,Daniel P. Schrag
Ariel Procaccia,Finale Doshi-Velez
Cynthia Friend,Efthimios Kaxiras
Cynthia Friend,Eric Mazur
Cynthia Friend,Scot T. Martin
Cynthia Friend,Joost J. Vlassak
Cynthia Friend,Michael J. Aziz
Daniel P. Schrag,Ann Pearson
Daniel P. Schrag,Daniel J. Jacob
Daniel P. Schrag,Steven C. Wofsy
David Parkes,Milind Tambe
David Parkes,Stuart M. Shieber
David Parkes,Finale Doshi-Velez
Doeke Romke Hekstra,Efthimios Kaxiras
Doeke Romke Hekstra,Amir Yacoby
Doeke Romke Hekstra,David A. Weitz
Doeke Romke Hekstra,Jennifer Lewis
Doeke Romke Hekstra,Kit Parker
Efthimios Kaxiras,Cynthia Friend
Efthimios Kaxiras,Joost J. Vlassak
Efthimios Kaxiras,Zhigang Suo
Efthimios Kaxiras,Hanspeter Pfister
Efthimios Kaxiras,Boris Kozinsky
Efthimios Kaxiras,Joanna Aizenberg
Efthimios Kaxiras,Prineha Narang
Federico Capasso,Efthimios Kaxiras
Federico Capasso,Amir Yacoby
Federico Capasso,David A. Weitz
Federico Capasso,Jennifer Lewis
Federico Capasso,Kit Parker
Gu-Yeon Wei,Radhika Nagpal
James Mickens,Stephanie Gil
Jennifer Lewis,Robert J. Wood
Jennifer Lewis,Conor J Walsh
Jennifer Lewis,Joost J. Vlassak
Jennifer Lewis,David A. Weitz
Jennifer Lewis,Federico Capasso
Jennifer Lewis,Kit Parker
Joanna Aizenberg,Efthimios Kaxiras
Joanna Aizenberg,David Mooney
Joanna Aizenberg,Michael J. Aziz
Joost J. Vlassak,Efthimios Kaxiras
Joost J. Vlassak,Kit Parker
Joost J. Vlassak,Jennifer Lewis
Joost J. Vlassak,Michael J. Aziz
Joost J. Vlassak,Joanna Aizenberg
Joost J. Vlassak,Conor J Walsh
Joost J. Vlassak,Scot T. Martin
Joost J. Vlassak,Cynthia Friend
Joost J. Vlassak,David R. Nelson
Joost J. Vlassak,L Mahadevan
Krzysztof Z Gajos,Hanspeter Pfister
Krzysztof Z Gajos,David Parkes
Krzysztof Z Gajos,Stuart M. Shieber
Krzysztof Z Gajos,Ariel Procaccia
Krzysztof Z Gajos,Yiling Chen
Krzysztof Z Gajos,Conor J Walsh
Krzysztof Z Gajos,Radhika Nagpal
Michael J. Aziz,David A. Weitz
Michael J. Aziz,Cynthia Friend
Michael J. Aziz,Joanna Aizenberg
Philip Kim,Radhika Nagpal
Steven C. Wofsy,David A. Weitz
Steven C. Wofsy,Donald Elliot Ingber
Steven C. Wofsy,Demba Ba
